user,task_id,query_id,UCTR,QCTR,MaxRR,MinRR,MeanRR,MaxRRow,MinRRow,MeanRRow,PLC,MaxScroll,QDT,SCD,ACD,TTFC,TTLC,DsatCC,DsatCR,LastClickToEnd
2015011770,9,3,0,0,0,0,0,0,0,0,0,6500.0,50751,0,0,2000000,2000000,0,0,2000000
2015011770,9,4,0,0,0,0,0,0,0,0,0,1300.0,27989,0,0,2000000,2000000,0,0,2000000
2015011770,9,5,0,0,0,0,0,0,0,0,0,2194.0,77206,0,0,2000000,2000000,0,0,2000000
2015011770,9,6,0,0,0,0,0,0,0,0,0,3400.0,26717,0,0,2000000,2000000,0,0,2000000
2015011770,9,7,0,0,0,0,0,0,0,0,0,1700.0,21199,0,0,2000000,2000000,0,0,2000000
2015011770,9,8,1,1,0.010638297872340425,0.010638297872340425,0.010638297872340425,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.00033785484472022406,2400.0,254753,17369,17369.0,37059,37059,0,0.0,217694
2015011770,10,0,1,1,0.5,0.5,0.5,1.0,1.0,1.0,0.005050505050505051,0.0,62112,3614,3614.0,8127,8127,1,1.0,53985
2015011770,10,1,1,2,0.25,0.03225806451612903,0.1411290322580645,1.0,0.2,0.6,0.0020201224396210653,600.0,93975,5550,2775.0,12769,35209,2,1.0,58766
2015011770,11,0,0,0,0,0,0,0,0,0,0,1600.0,32957,0,0,2000000,2000000,0,0,2000000
2015011770,12,0,1,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5,0.5,0.5,0.002514350656371239,800.0,106873,50122,50122.0,55888,55888,0,0.0,50985
2015011348,1,0,0,0,0,0,0,0,0,0,0,3500.0,53315,0,0,2000000,2000000,0,0,2000000
2015011348,1,1,0,0,0,0,0,0,0,0,0,0.0,10977,0,0,2000000,2000000,0,0,2000000
2015011348,1,2,1,3,0.01694915254237288,0.004219409282700422,0.009220689439526598,0.1,0.02631578947368421,0.055994152046783624,0.000371767297464894,7500.0,113504,15268,5089.333333333333,23136,72289,3,1.0,41215
2015011348,1,3,0,0,0,0,0,0,0,0,0,3800.0,63800,0,0,2000000,2000000,0,0,2000000
2015011348,1,4,0,0,0,0,0,0,0,0,0,1300.0,23619,0,0,2000000,2000000,0,0,2000000
2015011348,1,5,0,0,0,0,0,0,0,0,0,324.0,29597,0,0,2000000,2000000,0,0,2000000
2015011348,1,6,0,0,0,0,0,0,0,0,0,0.0,31351,0,0,2000000,2000000,0,0,2000000
2015011348,1,7,0,0,0,0,0,0,0,0,0,0.0,7214,0,0,2000000,2000000,0,0,2000000
2015011348,2,0,1,3,0.14285714285714285,0.020833333333333332,0.09160052910052909,0.5,0.125,0.375,0.001697625700695008,1300.0,73980,11756,3918.6666666666665,10841,50370,3,1.0,23610
